DateTime,Open,High,Low,Close,
20160905101400,23548.0,23549.0,23528.0,23540.0,
20160905101900,23541.0,23600.0,23541.0,23600.0,
20160905102400,23600.0,23618.0,23577.0,23580.0,
20160905102900,23578.0,23587.0,23552.0,23569.0,
20160905103400,23569.0,23573.0,23541.0,23549.0,
20160905103900,23548.0,23562.0,23542.0,23559.0,
20160905104400,23557.0,23568.0,23549.0,23554.0,
20160905104900,23552.0,23590.0,23552.0,23581.0,
20160905105400,23582.0,23593.0,23566.0,23588.0,
20160905105900,23586.0,23593.0,23567.0,23582.0,
20160905110400,23585.0,23592.0,23575.0,23577.0,
20160905110900,23577.0,23579.0,23560.0,23561.0,
20160905111400,23562.0,23582.0,23562.0,23578.0,
20160905111900,23577.0,23582.0,23564.0,23577.0,
20160905112400,23577.0,23594.0,23576.0,23593.0,
20160905112900,23593.0,23597.0,23580.0,23588.0,
20160905113400,23588.0,23607.0,23584.0,23607.0,
20160905113900,23606.0,23612.0,23597.0,23607.0,
20160905114400,23607.0,23607.0,23588.0,23596.0,
20160905114900,23596.0,23617.0,23593.0,23609.0,
20160905115400,23610.0,23613.0,23590.0,23592.0,
20160905115900,23593.0,23599.0,23590.0,23595.0,
20160905125500,23595.0,23595.0,23595.0,23595.0,
20160905130000,23600.0,23610.0,23592.0,23598.0,
20160905130500,23597.0,23638.0,23597.0,23626.0,
20160905131000,23628.0,23630.0,23605.0,23615.0,
20160905131500,23617.0,23618.0,23607.0,23615.0,
20160905132000,23614.0,23622.0,23608.0,23622.0,
20160905132500,23621.0,23622.0,23599.0,23607.0,
20160905133000,23606.0,23607.0,23585.0,23597.0,
20160905133500,23595.0,23595.0,23578.0,23588.0,
20160905134000,23589.0,23599.0,23588.0,23592.0,
20160905134500,23592.0,23594.0,23586.0,23593.0,
20160905135000,23593.0,23599.0,23581.0,23587.0,
20160905135500,23586.0,23596.0,23580.0,23594.0,
20160905140000,23594.0,23616.0,23593.0,23613.0,
20160905140500,23615.0,23618.0,23604.0,23613.0,
20160905141000,23613.0,23623.0,23596.0,23599.0,
20160905141500,23598.0,23599.0,23588.0,23594.0,
20160905142000,23594.0,23606.0,23586.0,23600.0,
20160905142500,23600.0,23606.0,23595.0,23605.0,
20160905143000,23604.0,23614.0,23596.0,23612.0,
20160905143500,23610.0,23613.0,23594.0,23594.0,
20160905144000,23595.0,23598.0,23590.0,23597.0,
20160905144500,23596.0,23608.0,23587.0,23599.0,
20160905145000,23600.0,23608.0,23595.0,23600.0,
20160905145500,23600.0,23612.0,23599.0,23611.0,
20160905150000,23609.0,23613.0,23597.0,23611.0,
20160905150500,23611.0,23613.0,23593.0,23600.0,
20160905151000,23600.0,23604.0,23561.0,23566.0,
20160905151500,23565.0,23576.0,23558.0,23565.0,
20160905152000,23566.0,23576.0,23559.0,23570.0,
20160905152500,23571.0,23606.0,23569.0,23593.0,
20160905153000,23594.0,23601.0,23589.0,23592.0,
20160905153500,23592.0,23602.0,23589.0,23599.0,
20160905154000,23597.0,23605.0,23589.0,23592.0,
20160905154500,23592.0,23609.0,23592.0,23607.0,
20160905155000,23608.0,23620.0,23603.0,23618.0,
20160905155500,23618.0,23643.0,23604.0,23628.0,
20160905160000,23628.0,23630.0,23607.0,23609.0,
20160905160500,23609.0,23616.0,23588.0,23596.0,
20160905161000,23595.0,23597.0,23587.0,23591.0,
20160905161500,23591.0,23597.0,23585.0,23594.0,
20160905162000,23594.0,23600.0,23592.0,23597.0,
20160905162500,23599.0,23602.0,23594.0,23598.0,
20160906091000,23567.0,23567.0,23567.0,23567.0,
20160906091500,23575.0,23647.0,23565.0,23635.0,
20160906092000,23633.0,23637.0,23607.0,23616.0,
20160906092500,23616.0,23632.0,23614.0,23621.0,
20160906093000,23621.0,23675.0,23596.0,23650.0,
20160906093500,23650.0,23674.0,23602.0,23626.0,
20160906094000,23628.0,23669.0,23623.0,23652.0,
20160906094500,23651.0,23655.0,23610.0,23619.0,
20160906095000,23619.0,23619.0,23562.0,23572.0,
20160906095500,23572.0,23585.0,23548.0,23550.0,
20160906100000,23549.0,23568.0,23522.0,23561.0,
20160906100500,23561.0,23584.0,23547.0,23578.0,
20160906101000,23576.0,23589.0,23564.0,23578.0,
20160906101500,23579.0,23625.0,23575.0,23621.0,
20160906102000,23620.0,23639.0,23609.0,23615.0,
20160906102500,23615.0,23620.0,23580.0,23582.0,
20160906103000,23584.0,23597.0,23581.0,23588.0,
20160906103500,23587.0,23614.0,23579.0,23608.0,
20160906104000,23609.0,23620.0,23602.0,23614.0,
20160906104500,23614.0,23641.0,23605.0,23636.0,
20160906105000,23637.0,23642.0,23623.0,23635.0,
20160906105500,23635.0,23648.0,23619.0,23638.0,
20160906110000,23639.0,23647.0,23632.0,23632.0,
20160906110500,23632.0,23645.0,23627.0,23641.0,
